Country,Capital,Population,x,y,Real name
Algeria,Algiers,44.6 million,-136,275
Angola,Luanda,33.9 million,2,-150
Benin,Porto-Novo,12.4 million,-150,93
Botswana,Gaborone,2.3 million,65,-244
Burkina Faso,Ouagadougou,21.4 million,-188,118
Burundi,Gitega,12.2 million,138,-53
Cameroon,Yaounde,27.2 million,-50,35
Cape Verde,Praia,561.898,-358,190
Central African Republic,Bangui,4.9 million,33,55
Chad,N'Djamena,16.9 million,20,143
Comoros,Moroni,"888,451",274,-136
Congo,Kinshasa,92.3 million,70,-45,Democratic Republic of the Congo
Djibouti,Djibouti,1 million,260,116
Egypt,Cairo,101.4 million,117,262
Equatorial Guinea,Malabo,1.4 million,-68,1
Eritrea,Asmara,6 million,213,158
Eswatini,Mbabane,1.1 million,140,-295
Ethiopia,Addis Ababa,117.8 million,225,80
Gabon,Libreville,2.2 million,-63,-23
Ghana,Accra,31.7 million,-185,70
Guinea,Conakry,13.4 million,-297,100
Guinea Bissau,Bissau,2 million,-329,118,Guinea-Bissau
Ivory Coast,Abidjan,27 million,-234,67,Côte d'Ivoire
Kenya,Nairobi,54.9 million,217,-7
Lesotho,Maseru,2.1 million,105,-325
Liberia,Monrovia,5.1 million,-276,59
Libya,Tripoli,6.9 million,5,263
Madagascar,Antananarivo,28.4 million,294,-227
Malawi,Lilongwe,19.6 million,174,-155
Mali,Bamako,20 million,-188,179
Mauritania,Nouakchott,4.7 million,-274,195
Mauritius,Port Louis,1.2 million,352,-247
Morocco,Rabat,37.3 million,-210,335
Mozambique,Maputo,32.1 million,190,-212
Namibia,Windhoek,2.5 million,0,-244
Niger,Niamey,25.1 million,-77,165
Nigeria,Abuja,211.4 million,-99,81
Republic Of Congo,Brazzaville,5.6 million,-9,-19,Republic of the Congo
Rwanda,Kigali,13.2 million,137,-37
Sao Tome And Principe,Sao Tome,"223,368",-98,-2,São Tomé and Príncipe
Senegal,Dakar,17.1 million,-325,153
Seychelles,Victoria,98.908,335,-82
Sierra Leone,Freetown,8.1 million,-297,79
Somalia,Mogadishu,16.3 million,310,40
South Africa,"Bloemfontein, Cape Town, Pretoria",60 million,45,-342
South Sudan,Juba,11.3 million,134,55
Sudan,Khartoum,44.9 million,133,162
Tanzania,Dodoma,61.4 million,187,-83
Gambia,Banjul,2.4 million,-335,135,The Gambia
Togo,Lome,8.4 million,-164,60
Tunisia,Tunis,11.9 million,-72,340
Uganda,Kampala,47.1 million,163,-2
Zambia,Lusaka,18.9 million,91,-174
Zimbabwe,Harare,15 million,128,-214
